Date,positions,shares,cash,holdings,total,close,signal,returns
2012-09-12,1996.0,1996.0,40.320000000006985,99959.679999999993,100000.0,50.08,0,
2012-09-13,0,1996.0,40.320000000006985,99320.959999999992,99361.279999999999,49.76,0,-0.0063872
2012-09-14,0,1996.0,40.320000000006985,102035.51999999999,102075.84,51.12,0,0.0273200989359
2012-09-17,0,1996.0,40.320000000006985,101875.84,101916.16,51.04,0,-0.00156432707289
2012-09-18,0,1996.0,40.320000000006985,101796.0,101836.32000000001,51.0,0,-0.000783389013087
2012-09-19,1996.0,0,102075.84,0.0,102075.84,51.12,-1,0.00235200957772
2012-09-20,0,0,102075.84,0.0,102075.84,50.36,0,0.0
2012-09-21,0,0,102075.84,0.0,102075.84,50.8,-1,0.0
2012-09-24,0,0,102075.84,0.0,102075.84,51.04,0,0.0
2012-09-25,1992.0,1992.0,5.7599999999947613,102070.08,102075.84,51.24,1,0.0
2012-09-26,1992.0,0,101996.16,0.0,101996.16,51.2,-1,-0.000780596074448
2012-09-27,0,0,101996.16,0.0,101996.16,52.44,-1,0.0
2012-09-28,0,0,101996.16,0.0,101996.16,52.84,0,0.0
2012-10-01,0,0,101996.16,0.0,101996.16,52.84,0,0.0
2012-10-02,0,0,101996.16,0.0,101996.16,52.84,0,0.0
2012-10-03,0,0,101996.16,0.0,101996.16,52.76,0,0.0
2012-10-04,1927.0,1927.0,19.320000000006985,101976.84,101996.16,52.92,1,0.0
2012-10-05,0,1927.0,19.320000000006985,101745.59999999999,101764.92,52.8,0,-0.00226714417484
2012-10-09,0,1927.0,19.320000000006985,100049.84,100069.16,51.92,0,-0.0166635025115
2012-10-10,0,1927.0,19.320000000006985,100126.92,100146.24000000001,51.96,0,0.000770267283147
2012-10-11,1927.0,0,99221.279999999999,0.0,99221.279999999999,51.48,-1,-0.0092360931374
2012-10-12,1916.0,1916.0,49.120000000009895,99172.159999999989,99221.279999999999,51.76,1,0.0
2012-10-15,0,1916.0,49.120000000009895,99095.520000000004,99144.640000000014,51.72,0,-0.000772414949696
2012-10-16,0,1916.0,49.120000000009895,99632.0,99681.12000000001,52.0,0,0.00541108425024
2012-10-17,0,1916.0,49.120000000009895,100628.32000000001,100677.44000000002,52.52,0,0.00999507228651
2012-10-18,0,1916.0,49.120000000009895,99632.0,99681.12000000001,52.0,0,-0.00989615945737
2012-10-19,0,1916.0,49.120000000009895,100321.75999999999,100370.88,52.36,0,0.00691966542912
2012-10-22,0,1916.0,49.120000000009895,101777.92,101827.04000000001,53.12,0,0.0145077934955
2012-10-23,0,1916.0,49.120000000009895,101777.92,101827.04000000001,53.12,0,0.0
2012-10-24,0,1916.0,49.120000000009895,103617.28,103666.40000000001,54.08,0,0.0180635713264
2012-10-25,0,1916.0,49.120000000009895,104153.75999999999,104202.88,54.36,0,0.00517506154357
2012-10-26,0,1916.0,49.120000000009895,102237.75999999999,102286.88,53.36,0,-0.018387207724
2012-10-29,0,1916.0,49.120000000009895,103464.0,103513.12000000001,54.0,0,0.0119882432625
2012-10-30,0,1916.0,49.120000000009895,104077.12,104126.24000000001,54.32,0,0.00592311390092
2012-10-31,0.0,1916.0,49.120000000009895,104996.79999999999,105045.92,54.8,1,0.00883235580196
2012-11-01,0,1916.0,49.120000000009895,105686.56,105735.68000000001,55.16,0,0.00656627120787
