Date,positions,shares,cash,holdings,total,close,signal,returns
12/9/2012,4777,4777,12.613,99987.387,100000,20.931,-1,
13/9/2012,4777,0,98958.614,0,98958.614,20.713,-1,-0.01041386
14/9/2012,0,0,98958.614,0,98958.614,22,-1,0
17/9/2012,0,0,98958.614,0,98958.614,21.52,-1,0
18/9/2012,0,0,98958.614,0,98958.614,21.87,0,0
19/9/2012,0,0,98958.614,0,98958.614,23.29,-1,0
20/9/2012,0,0,98958.614,0,98958.614,22.59,-1,0
21/9/2012,0,0,98958.614,0,98958.614,22.86,-1,0
24/9/2012,0,0,98958.614,0,98958.614,20.79,0,0
25/9/2012,0,0,98958.614,0,98958.614,20.28,0,0
26/9/2012,4799,4799,3.234,98955.38,98958.614,20.62,1,0
27/9/2012,0,4799,3.234,97515.68,97518.914,20.32,0,-0.014548506
28/9/2012,0,4799,3.234,103946.34,103949.574,21.66,0,0.065942695
1/10/2012,4799,0,105533.244,0,105533.244,21.99,-1,0.015234983
2/10/2012,0,0,105533.244,0,105533.244,22.27,0,0
3/10/2012,4834,4834,7.024,105526.22,105533.244,21.83,1,0
4/10/2012,0,4834,7.024,106096.632,106103.656,21.948,0,0.005405046
5/10/2012,0,4834,7.024,101078.94,101085.964,20.91,1,-0.047290472
9/10/2012,4834,0,97784.342,0,97784.342,20.227,-1,-0.032661528
10/10/2012,0,0,97784.342,0,97784.342,19.64,0,0
11/10/2012,0,0,97784.342,0,97784.342,19.75,-1,0
12/10/2012,0,0,97784.342,0,97784.342,19.518,0,0
15/10/2012,5009,5009,8.662,97775.68,97784.342,19.52,1,0
16/10/2012,0,5009,8.662,97575.32,97583.982,19.48,0,-0.002048999
17/10/2012,0,5009,8.662,99578.92,99587.582,19.88,0,0.020532058
18/10/2012,0,5009,8.662,95045.775,95054.437,18.975,1,-0.045519179
19/10/2012,0,5009,8.662,95171,95179.662,19,1,0.001317403
22/10/2012,0,5009,8.662,96778.889,96787.551,19.321,0,0.016893199
23/10/2012,0,5009,8.662,97675.5,97684.162,19.5,1,0.009263702
24/10/2012,0,5009,8.662,116359.07,116367.732,23.23,0,0.19126509
25/10/2012,0,5009,8.662,113003.04,113011.702,22.56,1,-0.028839868
26/10/2012,0,5009,8.662,109912.487,109921.149,21.943,0,-0.027347195
29/10/2012,0,5009,8.662,109912.487,109921.149,21.943,0,0
30/10/2012,0,5009,8.662,109912.487,109921.149,21.943,0,0
31/10/2012,0,5009,8.662,105739.99,105748.652,21.11,0,-0.037959001
1/11/2012,5009,0,106249.552,0,106249.552,21.21,-1,0.004736703
2/11/2012,0,0,106249.552,0,106249.552,21.18,0,0
5/11/2012,0,0,106249.552,0,106249.552,21.25,0,0
6/11/2012,5018,5018,13.474,106236.078,106249.552,21.171,1,0
7/11/2012,0,5018,13.474,102718.46,102731.934,20.47,0,-0.033107133
8/11/2012,0,5018,13.474,100309.82,100323.294,19.99,1,-0.023445874
9/11/2012,0,5018,13.474,96395.78,96409.254,19.21,1,-0.039014269
13/11/2012,0,5018,13.474,99657.48,99670.954,19.86,1,0.033831815
14/11/2012,0,5018,13.474,112202.48,112215.954,22.36,0,0.125864151
15/11/2012,0,5018,13.474,111249.06,111262.534,22.17,0,-0.008496296
16/11/2012,5018,0,118242.572,0,118242.572,23.561,-1,0.062734847
19/11/2012,0,0,118242.572,0,118242.572,22.92,0,0
20/11/2012,0,0,118242.572,0,118242.572,23.1,-1,0
21/11/2012,0,0,118242.572,0,118242.572,24.32,-1,0
23/11/2012,0,0,118242.572,0,118242.572,23.998,-1,0
26/11/2012,0,0,118242.572,0,118242.572,25.94,-1,0
27/11/2012,0,0,118242.572,0,118242.572,26.15,-1,0
28/11/2012,0,0,118242.572,0,118242.572,26.36,-1,0
29/11/2012,0,0,118242.572,0,118242.572,27.32,-1,0
30/11/2012,0,0,118242.572,0,118242.572,28,-1,0
3/12/2012,0,0,118242.572,0,118242.572,27.04,-1,0
4/12/2012,0,0,118242.572,0,118242.572,27.46,-1,0
5/12/2012,0,0,118242.572,0,118242.572,27.71,-1,0
6/12/2012,0,0,118242.572,0,118242.572,26.97,-1,0
7/12/2012,0,0,118242.572,0,118242.572,27.485,-1,0
10/12/2012,0,0,118242.572,0,118242.572,27.84,-1,0
11/12/2012,0,0,118242.572,0,118242.572,27.98,-1,0
12/12/2012,0,0,118242.572,0,118242.572,27.58,0,0
13/12/2012,0,0,118242.572,0,118242.572,28.24,0,0
14/12/2012,0,0,118242.572,0,118242.572,26.812,-1,0
17/12/2012,0,0,118242.572,0,118242.572,26.75,-1,0
18/12/2012,0,0,118242.572,0,118242.572,27.71,-1,0
19/12/2012,0,0,118242.572,0,118242.572,27.41,0,0
20/12/2012,4321,4321,20.012,118222.56,118242.572,27.36,1,0
21/12/2012,4321,0,113489.472,0,113489.472,26.26,-1,-0.040197874
24/12/2012,0,0,113489.472,0,113489.472,26.93,-1,0
26/12/2012,0,0,113489.472,0,113489.472,26.51,0,0
27/12/2012,0,0,113489.472,0,113489.472,26.05,0,0
28/12/2012,4379,4379,25.203,113464.269,113489.472,25.911,1,0
31/12/2012,4379,0,116594.183,0,116594.183,26.62,-1,0.027356819
2/1/2013,0,0,116594.183,0,116594.183,28,-1,0
3/1/2013,0,0,116594.183,0,116594.183,27.77,0,0
4/1/2013,0,0,116594.183,0,116594.183,28.76,-1,0
7/1/2013,0,0,116594.183,0,116594.183,29.421,0,0
8/1/2013,4012,4012,1.451,116592.732,116594.183,29.061,1,0
9/1/2013,4012,0,122728.531,0,122728.531,30.59,-1,0.052612813
10/1/2013,0,0,122728.531,0,122728.531,31.3,0,0
11/1/2013,0,0,122728.531,0,122728.531,31.72,-1,0
14/1/2013,0,0,122728.531,0,122728.531,30.948,0,0
15/1/2013,0,0,122728.531,0,122728.531,30.1,0,0
16/1/2013,0,0,122728.531,0,122728.531,29.85,0,0
17/1/2013,0,0,122728.531,0,122728.531,30.14,0,0
18/1/2013,0,0,122728.531,0,122728.531,29.66,-1,0
