Date,positions,shares,cash,holdings,total,close,signal,returns
2012-09-12,1468.0,1468.0,29.200000000011642,99970.799999999988,100000.0,68.1,0,
2012-09-13,0,1468.0,29.200000000011642,101159.87999999999,101189.08,68.91,0,0.0118908
2012-09-14,0,1468.0,29.200000000011642,101526.87999999999,101556.08,69.16,0,0.00362687357173
2012-09-17,0,1468.0,29.200000000011642,101659.0,101688.20000000001,69.25,0,0.00130095608259
2012-09-18,0,1468.0,29.200000000011642,101614.95999999999,101644.16,69.22,0,-0.000433088598284
2012-09-19,0,1468.0,29.200000000011642,101673.68000000001,101702.88000000002,69.26,0,0.000577701660381
2012-09-20,0,1468.0,29.200000000011642,102114.08,102143.28000000001,69.56,0,0.00433026085397
2012-09-21,0,1468.0,29.200000000011642,101908.56,101937.76000000001,69.42,0,-0.00201207558637
2012-09-24,0,1468.0,29.200000000011642,102407.68000000001,102436.88000000002,69.76,0,0.00489632104924
2012-09-25,0,1468.0,29.200000000011642,102158.12000000001,102187.32000000002,69.59,0,-0.00243623195084
2012-09-26,0,1468.0,29.200000000011642,101732.39999999999,101761.60000000001,69.3,0,-0.00416607461669
2012-09-27,0,1468.0,29.200000000011642,101732.39999999999,101761.60000000001,69.3,0,0.0
2012-09-28,0,1468.0,29.200000000011642,101820.48,101849.68000000001,69.36,0,0.000865552428421
2012-10-01,0,1468.0,29.200000000011642,101952.60000000001,101981.80000000002,69.45,0,0.00129720584296
2012-10-02,0,1468.0,29.200000000011642,100983.72000000002,101012.92000000003,68.79,0,-0.00950051872001
2012-10-03,0,1468.0,29.200000000011642,101541.56,101570.76000000001,69.17,0,0.00552246187913
2012-10-04,0,1468.0,29.200000000011642,101849.84,101879.04000000001,69.38,0,0.00303512546327
2012-10-05,0,1468.0,29.200000000011642,102216.84,102246.04000000001,69.63,0,0.00360231113289
2012-10-09,0,1468.0,29.200000000011642,100851.60000000001,100880.80000000002,68.7,0,-0.0133524975637
2012-10-10,0,1468.0,29.200000000011642,100029.52,100058.72000000002,68.14,0,-0.00814902340188
2012-10-11,0,1468.0,29.200000000011642,99824.0,99853.200000000012,68.0,0,-0.00205399389479
2012-10-12,0,1468.0,29.200000000011642,99735.919999999998,99765.12000000001,67.94,0,-0.000882094915336
2012-10-15,0,1468.0,29.200000000011642,100866.27999999998,100895.48,68.71,0,0.0113302124029
2012-10-16,0,1468.0,29.200000000011642,101292.0,101321.20000000001,69.0,0,0.00421941597384
2012-10-17,0,1468.0,29.200000000011642,101981.95999999999,102011.16,69.47,0,0.0068096311532
2012-10-18,0,1468.0,29.200000000011642,101981.95999999999,102011.16,69.47,0,0.0
2012-10-19,0.0,1468.0,29.200000000011642,100660.75999999999,100689.96000000001,68.57,1,-0.0129515241274
2012-10-22,0,1468.0,29.200000000011642,100558.0,100587.20000000001,68.5,0,-0.0010205585542
2012-10-23,0,1468.0,29.200000000011642,99001.919999999998,99031.12000000001,67.44,0,-0.0154699603926
2012-10-24,0,1468.0,29.200000000011642,99941.440000000002,99970.640000000014,68.08,0,0.0094871187966
2012-10-25,0,1468.0,29.200000000011642,102862.75999999999,102891.96000000001,70.07,0,0.0292217795145
2012-10-26,0,1468.0,29.200000000011642,101937.92,101967.12000000001,69.44,0,-0.00898845740717
2012-10-29,0,1468.0,29.200000000011642,101937.92,101967.12000000001,69.44,0,0.0
2012-10-30,0,1468.0,29.200000000011642,101937.92,101967.12000000001,69.44,0,0.0
2012-10-31,0,1468.0,29.200000000011642,101644.31999999999,101673.52,69.24,0,-0.00287935954257
2012-11-01,0,1468.0,29.200000000011642,101659.0,101688.20000000001,69.25,0,0.000144383709741
2012-11-02,0,1468.0,29.200000000011642,101570.92,101600.12000000001,69.19,0,-0.000866177196568
2012-11-05,0.0,1468.0,29.200000000011642,100807.56,100836.76000000001,68.67,1,-0.0075133769527
2012-11-06,0,1468.0,29.200000000011642,101189.24000000001,101218.44000000002,68.93,0,0.00378512756657
2012-11-07,0,1468.0,29.200000000011642,99912.080000000002,99941.280000000013,68.06,0,-0.0126178589593
2012-11-08,0,1468.0,29.200000000011642,98223.87999999999,98253.080000000002,66.91,0,-0.0168919189348
2012-11-09,0,1468.0,29.200000000011642,98370.680000000008,98399.880000000019,67.01,0,0.00149410074473
2012-11-13,0,1468.0,29.200000000011642,98135.799999999988,98165.0,66.85,0,-0.00238699478089
2012-11-14,0,1468.0,29.200000000011642,97666.040000000008,97695.24000000002,66.53,0,-0.004785412316
2012-11-15,0,1468.0,29.200000000011642,97357.759999999995,97386.960000000006,66.32,0,-0.00315552733173
2012-11-16,0.0,1468.0,29.200000000011642,98091.759999999995,98120.960000000006,66.82,1,0.00753694334437
2012-11-19,0,1468.0,29.200000000011642,99706.559999999998,99735.760000000009,67.92,0,0.0164572380865
2012-11-20,0.0,1468.0,29.200000000011642,100264.39999999999,100293.60000000001,68.3,1,0.00559317941729
2012-11-21,0,1468.0,29.200000000011642,100513.95999999999,100543.16,68.47,0,0.00248829436774
2012-11-23,0.0,1468.0,29.200000000011642,102158.12000000001,102187.32000000002,69.59,1,0.0163527782497
2012-11-26,0,1468.0,29.200000000011642,101996.64,102025.84000000001,69.48,0,-0.00158023519944
2012-11-27,0,1468.0,29.200000000011642,101277.31999999999,101306.52,68.99,0,-0.00705037076882
2012-11-28,0,1468.0,29.200000000011642,101937.92,101967.12000000001,69.44,0,0.00652080438653
2012-11-29,0,1468.0,29.200000000011642,102026.0,102055.20000000001,69.5,0,0.00086380786277
2012-11-30,0.0,1468.0,29.200000000011642,102510.44,102539.64000000001,69.83,1,0.00474684288503
