Date,positions,shares,cash,holdings,total,close,signal,returns
2012-09-12,692.0,692.0,82.120000000009895,99917.87999999999,100000.0,144.39,-1,
2012-09-13,692.0,0,101522.40000000001,0.0,101522.40000000001,146.59,-1,0.015224
2012-09-14,0,0,101522.40000000001,0.0,101522.40000000001,147.24,-1,0.0
2012-09-17,0,0,101522.40000000001,0.0,101522.40000000001,146.74,-1,0.0
2012-09-18,0,0,101522.40000000001,0.0,101522.40000000001,146.62,-1,0.0
2012-09-19,0,0,101522.40000000001,0.0,101522.40000000001,146.7,-1,0.0
2012-09-20,0,0,101522.40000000001,0.0,101522.40000000001,146.71,-1,0.0
2012-09-21,0,0,101522.40000000001,0.0,101522.40000000001,145.87,0,0.0
2012-09-24,0,0,101522.40000000001,0.0,101522.40000000001,145.645,0,0.0
2012-09-25,0,0,101522.40000000001,0.0,101522.40000000001,144.1,0,0.0
2012-09-26,0,0,101522.40000000001,0.0,101522.40000000001,143.295,0,0.0
2012-09-27,0,0,101522.40000000001,0.0,101522.40000000001,144.64,0,0.0
2012-09-28,0,0,101522.40000000001,0.0,101522.40000000001,143.97,0,0.0
2012-10-01,0,0,101522.40000000001,0.0,101522.40000000001,144.345,0,0.0
2012-10-02,702.0,702.0,83.400000000008731,101439.0,101522.40000000001,144.5,1,0.0
2012-10-03,0,702.0,83.400000000008731,101853.18000000001,101936.58000000002,145.09,0,0.00407969078745
2012-10-04,0,702.0,83.400000000008731,102579.75,102663.15000000001,146.125,0,0.00712766702591
2012-10-05,0,702.0,83.400000000008731,102590.27999999998,102673.67999999999,146.14,0,0.000102568448367
2012-10-09,0.0,702.0,83.400000000008731,101228.39999999999,101311.8,144.2,1,-0.013264158838
2012-10-10,0.0,702.0,83.400000000008731,100582.56,100665.96000000001,143.28,1,-0.00637477569247
2012-10-11,0,702.0,83.400000000008731,100638.72000000002,100722.12000000002,143.36,0,0.000557884710979
2012-10-12,0,702.0,83.400000000008731,100308.77999999998,100392.17999999999,142.89,0,-0.00327574518884
2012-10-15,0,702.0,83.400000000008731,101144.16,101227.56000000001,144.08,0,0.00832116605098
2012-10-16,0,702.0,83.400000000008731,102169.07999999999,102252.48,145.54,0,0.0101249106469
2012-10-17,0,702.0,83.400000000008731,102632.39999999999,102715.8,146.2,0,0.0045311370443
2012-10-18,0,702.0,83.400000000008731,102365.64,102449.04000000001,145.82,0,-0.00259706880538
2012-10-19,0,702.0,83.400000000008731,100659.49920000001,100742.89920000001,143.3896,0,-0.0166535557581
2012-10-22,0.0,702.0,83.400000000008731,100673.81999999999,100757.22,143.41,1,0.000142151954269
2012-10-23,0,702.0,83.400000000008731,99276.839999999997,99360.240000000005,141.42,0,-0.013864812864
2012-10-24,0.0,702.0,83.400000000008731,98996.040000000008,99079.440000000017,141.02,1,-0.00282608013024
2012-10-25,0,702.0,83.400000000008731,99283.860000000001,99367.260000000009,141.43,0,0.0029049417316
2012-10-26,0,702.0,83.400000000008731,99227.699999999997,99311.100000000006,141.35,0,-0.000565176095225
2012-10-29,0,702.0,83.400000000008731,99227.699999999997,99311.100000000006,141.35,0,0.0
2012-10-30,0,702.0,83.400000000008731,99227.699999999997,99311.100000000006,141.35,0,0.0
2012-10-31,0,702.0,83.400000000008731,99227.699999999997,99311.100000000006,141.35,0,0.0
2012-11-01,0,702.0,83.400000000008731,100266.66,100350.06000000001,142.83,0,0.0104616704477
2012-11-02,0,702.0,83.400000000008731,99375.119999999995,99458.520000000004,141.56,0,-0.00888429962075
2012-11-05,0,702.0,83.400000000008731,99577.717199999999,99661.117200000008,141.8486,0,0.0020370019582
2012-11-06,702.0,0,100441.32000000002,0.0,100441.32000000002,142.96,-1,0.00782855763531
2012-11-07,718.0,718.0,122.36000000001513,100318.96000000001,100441.32000000002,139.72,1,0.0
2012-11-08,0,718.0,122.36000000001513,99112.720000000001,99235.080000000016,138.04,0,-0.0120094001154
2012-11-09,0,718.0,122.36000000001513,99198.880000000005,99321.24000000002,138.16,0,0.000868241351748
