,cum_wealth_benchmark,cum_wealth_cutloss,daily_return_benchmark_mean,daily_return_benchmark_std,daily_return_cutloss_mean,daily_return_cutloss_std
OFLX US Equity,3.854676,0.94097536,0.001754916,0.025740876,0.000708813,0.014840323
OMER US Equity,1.613296,2.812309,0.002086872,0.052630734,0.002111251,0.045892766
ORBC US Equity,1.810109,0.995324,0.001188256,0.022605426,0.000733963,0.014854283
ORIT US Equity,0.112175,0.026159,0.000160329,0.011355441,5.88E-05,0.00844132
PARR US Equity,0.546288,0.367557,0.000674607,0.023675502,0.000403263,0.015564619
PCBK US Equity,1.662176,1.688613,0.001043436,0.018059822,0.000962073,0.011751062
PDFS US Equity,0.18009,-0.043985,0.000490601,0.025977237,0.000104405,0.016910097
PEBO US Equity,0.493502,-0.085837,0.000489777,0.015945528,-1.18E-05,0.011745479
PEI US Equity,-0.401436,-0.501148,-0.000324815,0.016638222,-0.000551515,0.012344649
PETS US Equity,2.098661,1.649329,0.001188158,0.018487344,0.000984182,0.014727978
PFBC US Equity,2.505055,0.582094,0.001281648,0.017240306,0.000467548,0.010302363
PGC US Equity,1.105,0.43231,0.000812505,0.01675893,0.000379863,0.010493992
PGTI US Equity,1.785306,1.269491,0.001368478,0.02989053,0.000930418,0.019638973
PHH US Equity,-0.393072,0.095025,-0.000114038,0.025121144,0.000285595,0.019527825
PLAB US Equity,0.754429,0.298541,0.000680169,0.018507718,0.000311787,0.012247634
PLOW US Equity,1.218987,0.567041,0.000909309,0.019430344,0.000486023,0.012650778
PRFT US Equity,0.446654,-0.131605,0.000565176,0.021480012,-3.95E-05,0.013257027
PRSC US Equity,1.74342,0.846094,0.001239663,0.026127983,0.000724446,0.019071071
PRTK US Equity,-0.68403,-0.03715955,-0.000384164,0.035749329,0.000312514,0.026331044
PSTB US Equity,1.235728,0.51354,0.000843684,0.015288561,0.000442932,0.011711032
PZN US Equity,0.657984,1.226739,0.000773151,0.025186593,0.000915976,0.019638163
QADA US Equity,1.299204,1.018959,0.000943016,0.019618019,0.000706378,0.011998701
RBCAA US Equity,0.652498,0.52148,0.000578853,0.015872726,0.000444437,0.011444095
RCII US Equity,-0.63635,-0.430441,-0.000474343,0.028526262,-0.000242718,0.022017143
RESI US Equity,-0.110295,-0.073876,0.000153767,0.022764662,8.12E-05,0.017351187
REX US Equity,3.795678,2.118107,0.00184374,0.029439533,0.001246162,0.021221077
RPXC US Equity,0.3486,1.0362195,0.000497036,0.021295458,0.000756773,0.015333589
RUTH US Equity,1.93339919,0.93574219,0.001156981,0.019316228,0.000678438,0.012834773
SCHN US Equity,-0.360045,0.043119,-9.95E-05,0.024683002,0.000162966,0.015832794
SCLN US Equity,1.2463263,-0.1606997,0.001104774,0.027373867,2.94E-07,0.017641677
SGMO US Equity,0.097695,0.458483,0.001226623,0.049066954,0.001047342,0.039111347
SHLD US Equity,-0.75610545,-0.42078006,-0.000537218,0.038823067,-3.09E-05,0.030732736
SN US Equity,-0.689232,-0.254172,7.99E-05,0.047930142,0.000294431,0.03352841
SNCR US Equity,-0.436106,-0.242993,2.97E-05,0.031926474,-3.76E-05,0.020645942
SP US Equity,0.34875,0.335718,0.000412378,0.016864607,0.00033839,0.012409294
SPNS US Equity,1.99,1.035165,0.001192041,0.020154713,0.000743941,0.014282216
SPPI US Equity,-0.46699707,0.62423193,-6.61E-05,0.030889803,0.00071669,0.023583415
SXC US Equity,-0.434528,-0.620798,0.000141725,0.036631547,-0.000614412,0.022904452
SYX US Equity,0.734704,1.178418,0.000942905,0.03074804,0.000972247,0.02407165
TG US Equity,-0.190594,-0.176072,0.000106593,0.024380689,-3.18E-05,0.016837493
TGH US Equity,-0.632058,-0.399356,-0.000411678,0.031117856,-0.000199148,0.022755186
THFF US Equity,0.588294,0.431521,0.000505998,0.013271714,0.000358047,0.008243801
THR US Equity,-0.16641,-0.068048,4.37E-06,0.018408213,1.56E-05,0.012594428
TISI US Equity,-0.311233,0.141961,-5.15E-05,0.023596215,0.000230722,0.014735144
TK US Equity,-0.81732,-0.637255,-0.000757834,0.036585661,-0.000644851,0.022891385
TLRD US Equity,-0.658512,-0.736454,-0.000355305,0.034102136,-0.000736008,0.029482357
TRK US Equity,0.0077,-0.023221,0.000125246,0.015381451,3.87E-05,0.01095133
TRR US Equity,1.86846,1.139666,0.001430582,0.031822038,0.00088284,0.020161093
TRST US Equity,0.482342,0.695034,0.000459121,0.014393977,0.000524613,0.009793331
TWI US Equity,-0.45243,-0.017308,-5.70E-06,0.032691152,0.000275164,0.023884868
UBA US Equity,-0.020787,-0.108727,5.38E-05,0.012058564,-7.59E-05,0.007477192
UCTT US Equity,3.349562,0.650391,0.001765606,0.029645213,0.000637026,0.019354301
UFI US Equity,1.2462,0.596259,0.000975932,0.022263308,0.000535784,0.015201632
UIHC US Equity,1.709604,-0.236781,0.001308326,0.02839232,-0.000120204,0.01565312
UIS US Equity,-0.333086,0.048336,0.000113362,0.030765235,0.000293898,0.022497792
UMH US Equity,0.616856,0.86347,0.000510963,0.012417621,0.000603327,0.009078259
UTL US Equity,0.82125,0.336508,0.000605138,0.011238118,0.000282091,0.006326318
VCRA US Equity,0.053293,0.407289,0.000457496,0.027730825,0.000507482,0.019545102
VDSI US Equity,0.75829365,-0.38983935,0.000949821,0.029892624,-0.000334756,0.014618954
VICR US Equity,2.637824,0.992232,0.001540977,0.027495017,0.00078424,0.018036758
VIVO US Equity,-0.27485,-0.206613,-0.000142186,0.016943886,-0.000159766,0.009877628
VRTS US Equity,-0.14625,0.0257865,0.000140379,0.023825604,0.000165715,0.016935669
WHG US Equity,0.358739,0.540909,0.000427869,0.017376973,0.000467184,0.012394071
WIFI US Equity,1.06125,0.903046,0.000919639,0.023100121,0.000701722,0.01553241
WINA US Equity,1.141425,0.628206,0.000783884,0.013841778,0.000479011,0.008790171
WRLD US Equity,0.082661,0.46824,0.000662167,0.033825834,0.000630738,0.023407588
WSBF US Equity,1.7050412,0.7505464,0.001005351,0.014755807,0.000578743,0.012300909
XBKS US Equity,1.64424,1.443419,0.001183029,0.024797737,0.000975169,0.01846018
XCRA US Equity,0.49533,0.719146,0.000679991,0.025557791,0.000626472,0.016530198
ZIOP US Equity,0.24497,0.01582975,0.00167664,0.052177499,0.000580051,0.033461901
