Ticket,EEM US Equity,EWG US Equity,TIP US Equity,EWJ US Equity,EFA US Equity,IEF US Equity,EWQ US Equity,EWU US Equity,XLB US Equity,XLE US Equity,XLF US Equity,LQD US Equity,XLK US Equity,XLU US Equity,EPP US Equity,FXI US Equity,VGK US Equity,VPL US Equity,SPY US Equity,TLT US Equity,BND US Equity,CSJ US Equity,DIA US Equity
06/14/2007, 43.220000 , 32.260000 , 97.710000 , 58.040000 , 80.140000 , 79.840000 , 38.190000 , 50.760000 , 40.750000 , 70.250000 , 30.426300 , 103.400000 , 25.590000 , 40.130000 , 48.346700 , 39.803300 , 75.430000 , 70.420000 , 152.720000 , 83.080000 , 73.580000 , 99.770000 , 135.580000 
06/15/2007, 43.993300 , 33.060000 , 97.970000 , 58.520000 , 81.010000 , 80.190000 , 38.620000 , 51.240000 , 40.990000 , 70.990000 , 30.401900 , 103.720000 , 25.770000 , 40.520000 , 48.853300 , 40.870000 , 76.600000 , 70.860000 , 153.050000 , 83.580000 , 73.670000 , 99.690000 , 136.300000 
06/18/2007, 44.140000 , 33.210000 , 98.060000 , 58.440000 , 81.230000 , 80.180000 , 38.600000 , 51.300000 , 41.010000 , 71.160000 , 30.393800 , 103.900000 , 25.820000 , 40.060000 , 49.096700 , 41.840000 , 76.690000 , 70.980000 , 152.890000 , 83.520000 , 73.670000 , 99.850000 , 136.050000 
06/19/2007, 44.293300 , 33.410000 , 98.580000 , 58.480000 , 81.310000 , 80.640000 , 38.680000 , 51.100000 , 41.210000 , 71.010000 , 30.499400 , 104.490000 , 25.840000 , 40.180000 , 49.650000 , 42.070000 , 76.800000 , 71.000000 , 153.220000 , 84.320000 , 73.670000 , 99.850000 , 136.240000 
06/20/2007, 43.723300 , 33.050000 , 98.110000 , 57.960000 , 80.420000 , 80.290000 , 38.100000 , 50.700000 , 40.700000 , 68.910000 , 29.971600 , 103.990000 , 25.570000 , 39.120000 , 49.240000 , 42.003300 , 76.000000 , 70.800000 , 151.000000 , 83.690000 , 73.970000 , 99.850000 , 134.710000 
06/21/2007, 44.403300 , 33.100000 , 98.020000 , 58.400000 , 80.990000 , 80.210000 , 38.340000 , 51.020000 , 41.060000 , 70.340000 , 30.052800 , 103.690000 , 25.790000 , 39.400000 , 49.823300 , 43.330000 , 76.430000 , 71.000000 , 151.990000 , 83.250000 , 73.800000 , 100.060000 , 135.350000 
06/22/2007, 43.610000 , 32.790000 , 98.470000 , 57.560000 , 79.980000 , 80.410000 , 37.900000 , 50.300000 , 40.860000 , 69.830000 , 29.565600 , 103.860000 , 25.490000 , 38.800000 , 49.126700 , 42.916700 , 75.410000 , 70.120000 , 150.230000 , 83.740000 , 73.800000 , 100.060000 , 133.760000 
06/25/2007, 43.300000 , 32.560000 , 98.710000 , 57.400000 , 79.880000 , 80.690000 , 37.770000 , 50.400000 , 40.390000 , 69.220000 , 29.378800 , 104.110000 , 25.410000 , 38.900000 , 49.096700 , 42.453300 , 75.310000 , 70.000000 , 149.610000 , 84.180000 , 74.010000 , 100.060000 , 133.430000 
06/26/2007, 43.280000 , 32.560000 , 98.560000 , 57.520000 , 79.840000 , 80.630000 , 37.800000 , 50.500000 , 39.870000 , 68.020000 , 29.305700 , 104.110000 , 25.380000 , 38.800000 , 48.853300 , 42.143300 , 75.270000 , 70.230000 , 149.070000 , 84.070000 , 74.100000 , 100.220000 , 133.310000 
06/27/2007, 43.730000 , 32.640000 , 98.550000 , 57.600000 , 80.120000 , 80.690000 , 37.990000 , 50.840000 , 40.100000 , 68.960000 , 29.565600 , 104.180000 , 25.640000 , 39.370000 , 48.520000 , 42.876700 , 75.650000 , 70.000000 , 150.560000 , 84.250000 , 74.130000 , 100.320000 , 134.180000 
06/28/2007, 43.696700 , 32.860000 , 98.480000 , 57.440000 , 80.200000 , 80.670000 , 38.200000 , 50.860000 , 40.160000 , 68.700000 , 29.525000 , 104.050000 , 25.690000 , 39.260000 , 49.023300 , 43.186700 , 75.910000 , 70.130000 , 150.420000 , 84.390000 , 74.010000 , 100.290000 , 134.140000 
06/29/2007, 43.610000 , 33.140000 , 98.950000 , 57.880000 , 80.630000 , 81.070000 , 38.400000 , 50.880000 , 40.370000 , 69.100000 , 29.305700 , 104.540000 , 25.620000 , 39.430000 , 48.830000 , 42.926700 , 76.180000 , 70.600000 , 150.210000 , 85.190000 , 74.280000 , 100.430000 , 134.060000 
07/02/2007, 44.640000 , 33.500000 , 98.860000 , 59.120000 , 81.920000 , 80.920000 , 38.800000 , 51.500000 , 41.040000 , 70.120000 , 29.646800 , 103.890000 , 25.860000 , 40.250000 , 49.750000 , 43.796700 , 77.230000 , 71.950000 , 151.810000 , 85.290000 , 74.180000 , 100.430000 , 135.300000 
07/03/2007, 45.016700 , 33.890000 , 98.420000 , 59.000000 , 82.210000 , 80.660000 , 39.090000 , 51.840000 , 41.120000 , 70.650000 , 29.809200 , 103.870000 , 26.030000 , 40.200000 , 49.723300 , 44.600000 , 77.750000 , 71.780000 , 152.370000 , 84.750000 , 74.090000 , 100.120000 , 135.720000 
07/05/2007, 45.343300 , 33.680000 , 98.010000 , 58.800000 , 82.020000 , 80.130000 , 38.960000 , 51.560000 , 41.190000 , 70.610000 , 29.679200 , 103.250000 , 26.150000 , 40.030000 , 50.086700 , 44.500000 , 77.520000 , 71.610000 , 152.430000 , 83.810000 , 73.770000 , 100.120000 , 135.630000 
07/06/2007, 46.110000 , 33.960000 , 97.850000 , 58.400000 , 82.390000 , 80.020000 , 39.280000 , 51.960000 , 41.470000 , 71.390000 , 29.736100 , 103.050000 , 26.210000 , 39.850000 , 50.536700 , 45.450000 , 78.010000 , 71.710000 , 152.950000 , 83.410000 , 73.600000 , 99.810000 , 136.110000 
07/09/2007, 46.566700 , 34.130000 , 98.110000 , 58.600000 , 82.690000 , 80.170000 , 39.300000 , 52.320000 , 41.610000 , 72.140000 , 29.646800 , 103.220000 , 26.220000 , 39.940000 , 51.000000 , 46.236700 , 78.300000 , 72.060000 , 153.110000 , 83.720000 , 73.680000 , 99.920000 , 136.510000 
07/10/2007, 45.600000 , 33.480000 , 98.870000 , 58.600000 , 81.720000 , 80.800000 , 38.650000 , 51.440000 , 40.920000 , 71.690000 , 28.980900 , 103.840000 , 25.960000 , 39.390000 , 50.276700 , 45.586700 , 77.100000 , 71.600000 , 150.880000 , 85.030000 , 74.090000 , 99.920000 , 134.890000 
07/11/2007, 46.076700 , 33.760000 , 98.470000 , 58.520000 , 82.440000 , 80.540000 , 38.990000 , 51.860000 , 41.310000 , 71.980000 , 29.135200 , 103.450000 , 26.120000 , 39.610000 , 50.496700 , 45.956700 , 78.150000 , 71.650000 , 151.840000 , 84.400000 , 73.930000 , 99.920000 , 135.780000 
07/12/2007, 47.186700 , 34.650000 , 98.200000 , 58.840000 , 83.770000 , 80.300000 , 40.090000 , 52.880000 , 42.430000 , 73.310000 , 29.768600 , 103.230000 , 26.630000 , 40.260000 , 51.390000 , 46.816700 , 79.550000 , 72.080000 , 154.730000 , 84.030000 , 73.790000 , 100.020000 , 138.660000 
07/13/2007, 47.560000 , 34.630000 , 98.340000 , 59.000000 , 83.620000 , 80.500000 , 39.950000 , 52.820000 , 42.900000 , 73.980000 , 29.801000 , 103.310000 , 26.630000 , 40.790000 , 51.390000 , 46.940000 , 79.370000 , 72.630000 , 155.080000 , 84.390000 , 73.900000 , 100.030000 , 139.050000 
07/16/2007, 46.983300 , 34.470000 , 98.600000 , 59.040000 , 83.360000 , 80.820000 , 39.750000 , 52.620000 , 42.600000 , 72.950000 , 29.711700 , 103.740000 , 26.710000 , 40.200000 , 51.263300 , 46.203300 , 79.130000 , 72.440000 , 154.910000 , 85.060000 , 74.130000 , 99.880000 , 139.460000 
07/17/2007, 47.060000 , 34.220000 , 98.440000 , 58.720000 , 83.130000 , 80.710000 , 39.620000 , 52.580000 , 42.880000 , 72.300000 , 29.760400 , 103.760000 , 26.840000 , 40.190000 , 51.283300 , 46.280000 , 78.970000 , 72.250000 , 154.860000 , 84.870000 , 73.910000 , 99.880000 , 139.710000 
07/18/2007, 46.563300 , 33.840000 , 98.830000 , 58.480000 , 82.800000 , 80.960000 , 39.250000 , 52.180000 , 43.110000 , 73.710000 , 29.378800 , 103.880000 , 26.640000 , 40.530000 , 51.003300 , 45.443300 , 78.440000 , 71.820000 , 154.580000 , 85.190000 , 74.160000 , 100.060000 , 139.310000 
07/19/2007, 47.120000 , 34.120000 , 99.010000 , 58.760000 , 83.300000 , 80.920000 , 39.640000 , 52.620000 , 43.240000 , 74.360000 , 29.273200 , 103.840000 , 26.940000 , 41.240000 , 51.706700 , 46.180000 , 79.000000 , 71.820000 , 155.230000 , 85.190000 , 74.000000 , 100.060000 , 140.020000 
07/20/2007, 46.683300 , 33.550000 , 99.390000 , 58.480000 , 82.410000 , 81.360000 , 38.840000 , 52.120000 , 42.580000 , 74.000000 , 28.761700 , 103.960000 , 26.670000 , 40.520000 , 51.446700 , 46.070000 , 77.880000 , 72.290000 , 153.330000 , 85.850000 , 74.360000 , 100.350000 , 138.330000 
07/23/2007, 47.983300 , 33.860000 , 99.150000 , 58.800000 , 82.930000 , 81.300000 , 39.140000 , 52.440000 , 42.720000 , 74.170000 , 28.737300 , 103.810000 , 26.780000 , 40.780000 , 52.050000 , 47.480000 , 78.270000 , 72.700000 , 154.050000 , 85.820000 , 74.290000 , 100.350000 , 139.320000 
07/24/2007, 46.366700 , 32.920000 , 99.540000 , 58.600000 , 81.510000 , 81.590000 , 38.130000 , 51.260000 , 41.790000 , 72.090000 , 27.949600 , 103.790000 , 26.470000 , 39.370000 , 51.340000 , 46.430000 , 76.660000 , 72.100000 , 151.120000 , 86.130000 , 74.290000 , 100.410000 , 137.140000 
