Date,AAPL US Equity,BRK/B US Equity,JPM US Equity,JNJ US Equity,PFE US Equity,AMZN US Equity,CMCSA US Equity,WMT US Equity,PG US Equity,GE US Equity,MMM US Equity,XOM US Equity,CVX US Equity,VZ US Equity,NEE US Equity,DUK US Equity,DOW US Equity,DD US Equity,SPG US Equity,GOOGL US Equity
19/6/2007,17.67,72.57,50.85,62.42,26.21,69.81,14.05,48.81,61.82,39.29,87.82,85.84,83.29,40.06,60.55,56.67,45.51,49.6,87.75,257.4
20/6/2007,17.36,72.23,49.46,62.04,25.71,69.1,14.09,48.59,61.94,39.07,87.08,82.82,80.97,39.57,58.96,55.23,45.15,49.55,85.99,255.23
21/6/2007,17.7,71.88,49.84,62.11,25.92,69.67,14.2,48.39,61.88,38.8,87.41,84.3,82.85,39.48,59.3,56.07,45.58,49.64,86.06,257.3
22/6/2007,17.57,71.56,48.72,60.73,25.38,68.86,13.88,47.83,61.03,38.24,86.43,82.52,81.55,38.73,57.98,54.72,45.08,49.68,85.25,262.74
25/6/2007,17.48,71.06,48.36,61.11,25.4,68.66,13.85,47.82,61.08,38.21,86.25,82.37,82.95,38.6,57.76,54.69,45.07,48.88,83.32,263.97
26/6/2007,17.09,70.81,48.6,61.65,25.59,67.48,13.91,47.97,61.19,38.02,86.08,81.82,82.7,38.2,56.66,54.63,45.05,48.1,83.24,265.39
27/6/2007,17.41,71.19,49.24,61.45,25.61,68.14,13.96,48.46,61.43,38.06,87.13,83.48,83.89,38.06,57.69,55.05,44.56,48.62,86.38,263.4
28/6/2007,17.22,71.84,48.96,61.5,25.63,68.89,14.03,48.21,61.36,38.12,86.85,83.6,84.18,38.2,57.35,54.72,44.42,48.38,84.76,262.76
29/6/2007,17.43,72.1,48.45,61.62,25.57,68.41,14.06,48.11,61.19,38.28,86.79,83.88,84.24,38.3,56.74,54.9,44.22,48.3,83.53,261.6
2/7/2007,17.32,72.49,49.15,61.85,25.73,69.61,14.22,48.33,61.74,38.26,88,84.82,85.15,38.68,57.4,55.5,45.08,49.21,86.66,265.45
3/7/2007,18.17,72.74,49.34,61.95,25.81,69.45,14.3,48.47,61.79,38.7,87.94,85.36,86.33,39.18,56.81,55.56,45.26,49.52,85.49,267.43
5/7/2007,18.96,73.36,48.79,62.28,25.9,68.73,14.24,48.09,61.67,38.54,87.76,85.16,86.57,39.05,56.81,55.26,45.79,49.46,86.81,271.08
6/7/2007,18.9,74.1,48.97,62.13,25.92,68.97,14.29,48.39,61.48,38.48,88.11,86.46,87.68,38.65,56.5,54.36,45.82,49.37,86.14,269.96
9/7/2007,18.62,74.28,48.79,62.72,25.88,72.07,14.15,48.5,61.52,38.62,88.11,87.44,89.5,39.09,55.98,54.63,46.41,49.45,85.86,271.54
10/7/2007,18.91,74.08,47.51,62.2,25.58,70.28,13.8,47.58,61.03,37.9,87.22,86.5,89,37.69,55.54,53.82,45.07,48.65,82.43,271.93
11/7/2007,18.91,73.8,48.13,62.86,25.45,70.73,13.88,47.68,61.56,38.2,87.88,87.29,90.75,37.95,55.32,54.12,45.45,48.62,81.92,272.5
12/7/2007,19.15,73.55,49.53,63.36,25.98,72.79,13.86,48.83,62.93,39,89.93,89.62,93.3,38.54,56.43,54.72,46.13,48.92,83.41,272.93
13/7/2007,19.68,73.55,50.05,63.43,25.91,75.1,13.99,49.15,62.66,39.5,90.22,90.33,93.33,38.85,57.46,54.9,46.33,48.97,84.64,276.35
16/7/2007,19.73,73.08,49.83,63.8,26.08,73.69,13.82,48.94,63.15,40.12,90.87,89.7,92.12,39.78,57.49,54.06,46.18,49.4,84.74,276.76
17/7/2007,19.84,73.26,49.92,62.74,25.96,73.79,14.09,48.35,62.68,40.71,91.08,89.09,91.1,39.31,58,53.82,46.91,50.63,84.05,277.77
18/7/2007,19.73,72.98,48.88,62.2,25.13,73.32,14.51,48.04,62.59,40.45,91.48,91.15,93.08,39.04,58.5,54.12,47.16,50.68,83.76,275.02
19/7/2007,20,72.76,48.62,62.39,24.99,73.35,14.49,48.79,62.79,40.71,91.17,92.29,93,39.31,59.55,54.15,47.67,50.48,84.41,274.56
20/7/2007,20.54,72.85,47.56,61.79,24.9,71.63,14.3,48.06,62.15,40.12,90.21,91.94,92.12,39.33,58.62,53.88,47.22,49.99,82.3,260.31
23/7/2007,20.53,72.77,47.15,62,25.03,71.74,14.43,48.11,63.34,40.82,90.87,93.44,92.57,39.8,59.85,54.03,47.07,50.59,81.51,256.5
24/7/2007,19.27,72.72,45.34,61.47,24.89,69.25,14.15,48.02,62.96,40.22,89.69,90.84,89.85,40.1,57.5,52.77,46.11,47.4,80.27,257.25
25/7/2007,19.61,72.77,45.27,61.53,24.78,86.18,14.27,47.87,62.98,40.42,89.62,92.79,91.05,40.2,58.26,53.01,45.67,46.73,80.04,255.13
26/7/2007,20.86,71.91,44.08,60.96,24.15,84.01,13.61,46.82,62.56,39.53,90.05,88.23,87.46,39.44,56.31,52.68,43.45,45.36,78.68,254.25
27/7/2007,20.55,72.3,44.23,59.77,23.79,84.04,13.33,45.94,62.82,38.79,90.05,85.59,85.2,39.07,54.92,51.63,42.45,44.48,76.23,256.19
30/7/2007,20.2,71.98,44.75,60.07,23.76,82.7,13.61,46.21,63.27,39.27,90.18,86.01,86.43,38.61,57.79,51.57,43.76,44.7,77.53,258.31
31/7/2007,18.82,72.08,44.01,60.5,23.51,78.54,13.14,45.95,61.86,38.76,88.92,85.13,85.26,39.65,57.73,51.09,43.48,44.39,77.69,255.25
1/8/2007,19.29,71.99,44.38,60.96,23.63,77.31,13.05,46.22,63.16,38.95,89.07,85.84,85.17,40.22,59.46,52.86,44.16,44.96,77.85,256.72
