Date,Close
2015-08-12,156.16
2015-08-13,155.07
2015-08-14,155.75
2015-08-17,156.31
2015-08-18,156.01
2015-08-19,153.94
2015-08-20,152.66
2015-08-21,148.85
2015-08-24,143.47
2015-08-25,140.96
2015-08-26,146.7
2015-08-27,148.54
2015-08-28,147.98
2015-08-31,147.89
2015-09-01,142.68
2015-09-02,145.05
2015-09-03,146.78
2015-09-04,143.7
2015-09-08,147.23
2015-09-09,145.05
2015-09-10,146.2
2015-09-11,147.37
2015-09-14,145.65
2015-09-15,147.53
2015-09-16,148.41
2015-09-17,148.14
2015-09-18,144.51
2015-09-21,146.48
2015-09-22,144.43
2015-09-23,143.66
2015-09-24,144.41
2015-09-25,145.42
2015-09-28,142.52
2015-09-29,142.47
2015-09-30,144.97
2015-10-01,143.59
2015-10-02,144.58
2015-10-05,149.04
2015-10-06,148.78
2015-10-07,150.09
2015-10-08,152.28
2015-10-09,152.39
2015-10-12,151.14
2015-10-13,149.62
2015-10-14,150.01
2015-10-15,150.09
2015-10-16,150.39
2015-10-19,149.22
2015-10-20,140.64
2015-10-21,140.92
2015-10-22,144.09
2015-10-23,144.68
2015-10-26,143.66
2015-10-27,137.86
2015-10-28,140.83
2015-10-29,140.55
2015-10-30,140.08
2015-11-02,140.37
2015-11-03,141.88
2015-11-04,141.63
2015-11-05,139.89
2015-11-06,138.25
2015-11-09,135.31
2015-11-10,135.47
2015-11-11,135.02
2015-11-12,133.04
2015-11-13,131.75
2015-11-16,133.71
2015-11-17,133.82
2015-11-18,135.82
2015-11-19,136.74
2015-11-20,138.5
2015-11-23,138.46
2015-11-24,138.6
2015-11-25,138.0
2015-11-27,138.46
2015-11-30,139.42
2015-12-01,141.28
2015-12-02,139.7
2015-12-03,138.92
2015-12-04,140.43
2015-12-07,139.55
2015-12-08,138.05
2015-12-09,136.61
2015-12-10,136.78
2015-12-11,134.57
2015-12-14,135.93
2015-12-15,137.79
2015-12-16,139.29
2015-12-17,136.75
2015-12-18,134.9
2015-12-21,135.5
2015-12-22,137.93
2015-12-23,138.54
2015-12-24,138.25
2015-12-28,137.61
2015-12-29,139.78
2015-12-30,139.34
2015-12-31,137.62
2016-01-04,135.95
2016-01-05,135.85
2016-01-06,135.17
2016-01-07,132.86
2016-01-08,131.63
2016-01-11,133.23
2016-01-12,132.9
2016-01-13,131.17
2016-01-14,132.91
2016-01-15,130.03
2016-01-19,128.11
2016-01-20,121.86
2016-01-21,122.91
2016-01-22,122.5
2016-01-25,122.08
2016-01-26,122.59
2016-01-27,120.96
2016-01-28,122.22
2016-01-29,124.79
2016-02-01,124.83
2016-02-02,122.94
2016-02-03,124.72
2016-02-04,127.65
2016-02-05,128.57
2016-02-08,126.98
2016-02-09,124.07
2016-02-10,120.19
2016-02-11,117.85
2016-02-12,121.04
2016-02-16,122.74
2016-02-17,126.1
2016-02-18,132.45
2016-02-19,133.08
2016-02-22,133.77
2016-02-23,132.4
2016-02-24,132.8
2016-02-25,134.5
2016-02-26,132.03
2016-02-29,131.03
2016-03-01,134.37
2016-03-02,136.3
2016-03-03,137.8
2016-03-04,137.8
2016-03-07,140.15
2016-03-08,139.07
2016-03-09,140.41
2016-03-10,140.19
2016-03-11,142.36
2016-03-14,142.78
2016-03-15,142.96
2016-03-16,144.79
2016-03-17,147.04
2016-03-18,147.09
2016-03-21,148.63
2016-03-22,148.1
2016-03-23,145.4
2016-03-24,147.95
2016-03-28,148.4
2016-03-29,149.33
2016-03-30,148.41
2016-03-31,151.45
2016-04-01,152.52
2016-04-04,152.07
2016-04-05,150.0
2016-04-06,150.02
2016-04-07,148.25
2016-04-08,149.35
2016-04-11,149.25
2016-04-12,149.63
2016-04-13,151.23
2016-04-14,151.16
2016-04-15,151.72
2016-04-18,152.53
2016-04-19,144.0
2016-04-20,146.11
2016-04-21,149.3
2016-04-22,148.5
2016-04-25,148.81
2016-04-26,149.08
2016-04-27,150.47
2016-04-28,147.07
2016-04-29,145.94
2016-05-02,145.27
2016-05-03,144.13
2016-05-04,144.25
2016-05-05,146.47
2016-05-06,147.29
2016-05-09,147.34
2016-05-10,149.97
2016-05-11,148.95
2016-05-12,148.84
2016-05-13,147.72
2016-05-16,149.46
2016-05-17,148.0
2016-05-18,147.34
2016-05-19,144.93
2016-05-20,147.25
2016-05-23,146.77
2016-05-24,148.31
2016-05-25,151.69
2016-05-26,152.44
2016-05-27,152.84
2016-05-31,153.74
2016-06-01,152.51
2016-06-02,153.5
2016-06-03,152.89
2016-06-06,152.73
2016-06-07,153.33
2016-06-08,154.0
2016-06-09,153.42
2016-06-10,152.37
2016-06-13,151.28
2016-06-14,151.06
2016-06-15,150.68
2016-06-16,151.06
2016-06-17,151.99
2016-06-20,153.61
2016-06-21,154.05
2016-06-22,152.92
2016-06-23,155.35
2016-06-24,146.59
2016-06-27,143.5
2016-06-28,145.7
2016-06-29,148.46
2016-06-30,151.78
2016-07-01,152.35
2016-07-05,151.68
2016-07-06,152.37
2016-07-07,152.6
2016-07-08,154.46
2016-07-11,155.33
2016-07-12,157.04
2016-07-13,158.02
2016-07-14,160.28
2016-07-15,159.78
2016-07-18,159.86
2016-07-19,159.58
2016-07-20,161.36
2016-07-21,160.45
2016-07-22,162.07
2016-07-25,162.65
2016-07-26,162.12
2016-07-27,161.83
2016-07-28,161.37
2016-07-29,160.62
2016-08-01,161.45
2016-08-02,160.58
2016-08-03,160.67
2016-08-04,161.55
2016-08-05,163.5
2016-08-08,162.04
2016-08-09,161.77
2016-08-10,162.08
2016-08-11,163.53
2016-08-12,161.95
2016-08-15,161.88
2016-08-16,160.7
2016-08-17,160.44
2016-08-18,161.36
2016-08-19,160.04
2016-08-22,160.0
2016-08-23,160.26
2016-08-24,159.05
2016-08-25,158.63
2016-08-26,158.32
2016-08-29,159.72
2016-08-30,159.4
2016-08-31,158.88
2016-09-01,159.54
2016-09-02,159.55
2016-09-06,160.35
2016-09-07,161.64
2016-09-08,159.0
2016-09-09,155.69
2016-09-12,158.29
2016-09-13,155.81
2016-09-14,154.05
2016-09-15,155.66
2016-09-16,153.84
2016-09-19,154.87
2016-09-20,154.45
2016-09-21,155.53
2016-09-22,156.11
2016-09-23,154.98
2016-09-26,153.98
2016-09-27,156.77
2016-09-28,158.29
2016-09-29,158.11
2016-09-30,158.85
2016-10-03,157.61
2016-10-04,156.46
2016-10-05,157.08
2016-10-06,156.88
2016-10-07,155.67
2016-10-10,157.02
2016-10-11,154.79
2016-10-12,154.29
2016-10-13,153.72
2016-10-14,154.45
2016-10-17,154.77
2016-10-18,150.72
2016-10-19,151.26
2016-10-20,151.52
2016-10-21,149.63
2016-10-24,150.57
2016-10-25,150.88
2016-10-26,151.81
2016-10-27,153.35
2016-10-28,152.61
2016-10-31,153.69
2016-11-01,152.79
2016-11-02,151.95
2016-11-03,152.37
2016-11-04,152.43
2016-11-07,155.72
2016-11-08,155.17
2016-11-09,154.81
2016-11-10,160.22
2016-11-11,161.27
2016-11-14,158.21
2016-11-15,158.67
2016-11-16,159.29
2016-11-17,159.8
2016-11-18,160.39
2016-11-21,162.77
2016-11-22,162.67
2016-11-23,161.98
2016-11-25,163.14
2016-11-28,164.52
2016-11-29,163.53
2016-11-30,162.22
2016-12-01,159.82
2016-12-02,160.02
2016-12-05,159.84
2016-12-06,160.35
2016-12-07,164.79
2016-12-08,165.36
2016-12-09,166.52
2016-12-12,165.5
2016-12-13,168.29
2016-12-14,168.51
2016-12-15,168.02
2016-12-16,166.73
2016-12-19,166.68
2016-12-20,167.6
2016-12-21,167.33
2016-12-22,167.06
2016-12-23,166.71
2016-12-27,167.14
2016-12-28,166.19
2016-12-29,166.6
2016-12-30,165.99
2017-01-03,167.19
2017-01-04,169.26
2017-01-05,168.7
2017-01-06,169.53
2017-01-09,167.65
2017-01-10,165.52
2017-01-11,167.75
2017-01-12,167.95
2017-01-13,167.34
2017-01-17,167.89
2017-01-18,166.8
2017-01-19,166.81
2017-01-20,170.55
2017-01-23,171.03
2017-01-24,175.9
2017-01-25,178.29
2017-01-26,178.66
2017-01-27,177.3
2017-01-30,175.8
2017-01-31,174.52
2017-02-01,174.29
2017-02-02,174.58
2017-02-03,175.82
2017-02-06,175.86
2017-02-07,178.46
2017-02-08,176.17
2017-02-09,177.21
2017-02-10,178.68
2017-02-13,179.36
2017-02-14,180.13
2017-02-15,181.68
2017-02-16,181.43
2017-02-17,180.67
2017-02-21,180.26
2017-02-22,181.15
2017-02-23,181.65
