Date,FB US Equity,SPY US Equity,MSCI US Equity,700 HK Equity,PG US Equity
20160421,0,0,0,1,0
20160422,0,0,0,0,0
20160425,1,0,0,0,0
20160426,1,-1,0,0,0
20160427,0,0,0,0,-1
20160428,0,0,0,0,0
20160429,-1,0,0,0,0
20160502,-1,0,0,0,0
20160503,1,1,0,-1,0
20160504,0,0,0,0,0
20160505,0,0,0,0,0
20160506,0,0,0,-1,0
20160509,-1,0,0,0,0
20160510,0,0,0,-1,0
20160511,1,0,0,-1,1
20160512,0,0,0,0,0
20160513,1,0,1,0,1
20160516,0,0,0,-1,0
20160517,0,1,0,-1,0
20160518,0,1,0,0,1
20160519,0,1,0,0,0
20160520,1,0,0,0,1
20160523,0,0,0,1,1
20160524,-1,0,0,0,0
20160525,0,-1,0,-1,0
20160526,1,0,0,0,0
20160527,0,-1,0,-1,1
20160531,0,1,0,0,0
20160601,0,0,0,1,-1
20160602,0,0,0,1,0
20160603,1,0,0,0,-1
20160606,0,-1,0,1,0
20160607,0,-1,0,0,0
20160608,0,0,0,0,0
20160609,0,0,0,0,0
