Date,positions,shares,cash,holdings,total,close,signal,returns
2012-09-13,1086.0,1086.0,22.839999999996508,99977.160000000003,100000.0,92.06,0,
2012-09-14,0,1086.0,22.839999999996508,102062.28,102085.12,93.98,0,0.0208512
2012-09-17,0,1086.0,22.839999999996508,101845.08,101867.92,93.78,0,-0.00212763623141
2012-09-18,0,1086.0,22.839999999996508,101464.98000000001,101487.82000000001,93.43,0,-0.00373130225885
2012-09-19,0,1086.0,22.839999999996508,101682.17999999999,101705.01999999999,93.63,0,0.00214015829683
2012-09-20,0,1086.0,22.839999999996508,101627.88,101650.72,93.58,0,-0.000533896950219
2012-09-21,0,1086.0,22.839999999996508,101226.06,101248.89999999999,93.21,0,-0.00395294789845
2012-09-24,0,1086.0,22.839999999996508,101790.78,101813.62,93.73,0,0.005577542077
2012-09-25,0,1086.0,22.839999999996508,100813.38,100836.22,92.83,0,-0.00959989439527
2012-09-26,0,1086.0,22.839999999996508,100552.74000000001,100575.58,92.59,0,-0.00258478550664
2012-09-27,0,1086.0,22.839999999996508,100802.51999999999,100825.35999999999,92.82,0,0.00248350543939
2012-09-28,0,1086.0,22.839999999996508,100368.12,100390.95999999999,92.42,0,-0.00430843986077
2012-10-01,0,1086.0,22.839999999996508,101312.94,101335.78,93.29,0,0.00941140517035
2012-10-02,0,1086.0,22.839999999996508,101584.44,101607.28,93.54,0,0.00267921162693
2012-10-03,0,1086.0,22.839999999996508,101845.08,101867.92,93.78,0,0.00256517052715
2012-10-04,0,1086.0,22.839999999996508,102550.98000000001,102573.82000000001,94.43,0,0.00692956133786
2012-10-05,0,1086.0,22.839999999996508,103126.56,103149.39999999999,94.96,0,0.00561137335043
2012-10-09,0,1086.0,22.839999999996508,102018.84,102041.67999999999,93.94,0,-0.0107389863635
2012-10-10,0,1086.0,22.839999999996508,101302.08,101324.92,93.28,0,-0.00702418854727
2012-10-11,0,1086.0,22.839999999996508,100813.38,100836.22,92.83,0,-0.00482309781246
2012-10-12,0,1086.0,22.839999999996508,100726.5,100749.34,92.75,0,-0.000861595168879
