Securities,Date,Buy_Hold,SD_05,SD_1,SD_2
MMM,13/2/2013,-0.005798164,0,0,-0.005795658
MMM,14/2/2013,-0.000777597,0,0,-0.000777259
MMM,15/2/2013,0.004377388,0.004375317,0,0.004375484
MMM,19/2/2013,0.009200877,0.009196543,0,0.009196891
MMM,20/2/2013,-0.009884739,-0.009880126,-0.009882784,-0.009880497
MMM,21/2/2013,-0.004167837,-0.004165872,-0.004167004,-0.00416603
MMM,22/2/2013,0.007981232,0.007977454,0.007979631,0.007977758
MMM,25/2/2013,-0.017284494,0,-0.017281053,-0.01727703
MMM,26/2/2013,0.005502548,0.005503265,0.005501434,0.00550013
MMM,27/2/2013,0.012312981,0,0.0123105,0.0123076
MMM,28/2/2013,0.004150938,0.004151198,0.004150113,0.004149147
MMM,1/3/2013,-0.002211091,-0.002211229,-0.002210653,-0.002210141
MMM,4/3/2013,-0.004721024,0,-0.004720087,-0.00471899
MMM,5/3/2013,0.011326121,0.011327036,0.011323861,0.011321218
MMM,6/3/2013,0.002010127,0.002010287,0.00200973,0.002009266
MMM,7/3/2013,-0.001146339,-0.001146431,-0.001146114,-0.00114585
MMM,8/3/2013,0.011189637,0,0.011187431,0.011184851
MMM,11/3/2013,0.000945796,0,0.000945612,0.000945396
MMM,12/3/2013,-0.006425337,0,-0.006424085,-0.006422621
MMM,13/3/2013,-0.000380405,0,-0.000380331,-0.000380243
MMM,14/3/2013,0.008847787,0.008844449,0.008846052,0.008844022
MMM,15/3/2013,0.003583519,0.003582178,0.003582822,0.003582007
MMM,18/3/2013,-0.009302672,0,-0.009300871,-0.009298763
MMM,19/3/2013,-0.002181521,0,-0.002181094,-0.002180596
MMM,20/3/2013,0.004562693,0,0.004561799,0.004560753
MMM,21/3/2013,-0.006812954,0,-0.006811625,-0.006810071
MMM,22/3/2013,0.014100471,0,0.014097702,0.014094463
MMM,25/3/2013,-0.011743592,-0.011741421,-0.011741317,-0.011738657
MMM,26/3/2013,0.008555862,0.008554263,0.008554186,0.008552225
MMM,27/3/2013,-0.007352177,-0.007350813,-0.007350748,-0.007349077
MMM,28/3/2013,0.009685595,0.009683786,0.009683699,0.009681482
MMM,1/4/2013,-0.006207031,-0.006205883,-0.006205828,-0.00620442
MMM,2/4/2013,0.008233098,0.008231566,0.008231492,0.008229614
MMM,3/4/2013,-0.007884286,0,-0.007882761,-0.007880977
MMM,4/4/2013,0.00132449,0,0.001324232,0.00132393
